ID,Quality,HR
100001,1,83
100002,1,85
100003,1,81
100004,0,85
101001,1,67
101002,1,69
101003,1,71
101004,0,67
102001,1,68
102002,1,66
102003,1,67
102004,1,66
103001,0,86
103002,1,91
103003,1,100
103004,0,101
104001,1,108
104002,1,122
104003,1,115
104004,0,117
105001,1,86
105002,1,91
105003,1,81
105004,0,100
106001,1,63
106002,1,67
106003,1,65
106004,0,62
107001,1,75
107002,1,104
107003,1,106
107004,0,117
108001,1,73
108002,1,76
108003,1,75
108004,0,75
109001,1,82
109002,1,84
109003,1,78
109004,0,85
110001,1,96
110002,1,98
110003,1,96
110004,0,96
111001,1,100
111002,1,95
111003,0,102
111004,0,102
112001,0,85
112002,0,64
112003,0,65
112004,0,62
112005,0,59
112006,0,59
112007,0,63
112008,0,63
112009,0,66
112010,0,66
112011,0,68
112012,0,68
112013,0,65
112014,0,67
112015,0,66
112016,0,65
112017,0,65
112018,0,69
112019,0,69
112020,0,67
112021,0,70
112022,0,67
112023,0,65
112024,0,82
112025,0,89
112026,0,64
112027,0,66
112028,0,68
112029,0,61
112030,0,63
112031,0,68
112032,0,77
112033,0,62
112034,0,62
112035,0,64
112036,0,66
112037,0,66
112038,0,68
112039,0,70
112040,0,69
112041,0,63
112042,0,70
112043,0,76
112044,0,66
112045,0,63
112046,0,65
112047,0,65
112048,0,69
112049,0,75
112050,0,71
112051,0,75
112052,0,79
112053,0,67
112054,0,66
112055,0,70
112056,0,65
112057,0,61
112058,0,64
112059,0,57
112060,0,58
112061,0,61
112062,0,65
112063,0,64
112064,0,66
112065,0,64
112066,0,64
112067,0,64
112068,0,65
112069,0,65
112070,0,65
112071,0,63
112072,0,64
112073,0,63
112074,0,62
112075,0,65
112076,0,63
112077,0,88
112078,0,70
112079,0,76
112080,1,71
112081,0,64
112082,0,60
112083,0,56
112084,0,55
112085,0,65
112086,0,58
112087,0,57
112088,0,60
112089,0,66
112090,0,66
112091,0,67
112092,0,72
112093,0,73
112094,0,62
112095,0,68
112096,1,63
112097,0,63
112098,0,61
112099,0,66
112100,0,70
112101,0,69
112102,0,68
112103,0,69
112104,0,71
112105,0,70
112106,0,70
112107,0,70
112108,0,65
113001,0,70
113002,0,67
113003,0,70
113004,0,71
113005,0,70
113006,0,68
113007,0,72
113008,0,68
113009,1,68
113010,0,69
113011,0,68
113012,0,69
113013,0,69
113014,1,71
113015,0,69
113016,0,68
113017,0,70
113018,0,69
113019,0,70
113020,0,70
113021,0,69
113022,0,68
113023,0,83
113024,0,76
113025,0,77
